title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Inside Out,94,Animation; Adventure; Comedy,Pete Docter; Ronnie Del Carmen,Pete Docter; Ronnie Del Carmen,Amy Poehler; Bill Hader; Lewis Black,8.4,"173,449"
Witness for the Prosecution,116,Drama; Mystery; Thriller,Billy Wilder,Agatha Christie; Billy Wilder,Tyrone Power; Marlene Dietrich; Charles Laughton,8.4,"55,768"
Reservoir Dogs,99,Crime; Drama,Quentin Tarantino,Quentin Tarantino; Roger Avary,Harvey Keitel; Tim Roth; Michael Madsen,8.4,"601,632"
Braveheart,178,Biography; Drama; History,Mel Gibson,Randall Wallace,Mel Gibson; Sophie Marceau; Patrick McGoohan,8.4,"676,317"
Toy Story 3,103,Animation; Adventure; Comedy,Lee Unkrich,John Lasseter; Andrew Stanton,Tom Hanks; Tim Allen; Joan Cusack,8.4,"490,500"
A Clockwork Orange,136,Crime; Drama; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Anthony Burgess,Malcolm McDowell; Patrick Magee; Michael Bates,8.4,"508,763"
Requiem for a Dream,102,Drama,Darren Aronofsky,Hubert Selby Jr.; Hubert Selby Jr.,Ellen Burstyn; Jared Leto; Jennifer Connelly,8.4,"528,188"
Taxi Driver,113,Crime; Drama,Martin Scorsese,Paul Schrader,Robert De Niro; Jodie Foster; Cybill Shepherd,8.4,"461,166"
Double Indemnity,107,Crime; Drama; Film-Noir,Billy Wilder,Billy Wilder; Raymond Chandler,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson,8.4,"89,607"
To Kill a Mockingbird,129,Drama,Robert Mulligan,Harper Lee; Horton Foote,Gregory Peck; John Megna; Frank Overton,8.4,"195,519"
Lawrence of Arabia,216,Adventure; Biography; Drama,David Lean,T.E. Lawrence; Robert Bolt,Peter O'Toole; Alec Guinness; Anthony Quinn,8.4,"176,238"
Eternal Sunshine of the Spotless Mind,108,Drama; Romance; Sci-Fi,Michel Gondry,Charlie Kaufman; Michel Gondry,Jim Carrey; Kate Winslet; Tom Wilkinson,8.4,"610,540"
Full Metal Jacket,116,Drama; War,Stanley Kubrick,Gustav Hasford; Stanley Kubrick,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio,8.3,"441,370"
Amadeus,160,Biography; Drama; History,Milos Forman,Peter Shaffer; Peter Shaffer,F. Murray Abraham; Tom Hulce; Elizabeth Berridge,8.3,"248,120"
The Sting,129,Comedy; Crime; Drama,George Roy Hill,David S. Ward,Paul Newman; Robert Redford; Robert Shaw,8.3,"161,006"
Singin' in the Rain,103,Comedy; Musical; Romance,Stanley Donen; Gene Kelly,Adolph Green; Betty Comden,Gene Kelly; Donald O'Connor; Debbie Reynolds,8.4,"137,315"
Ladri di biciclette,93,Drama,Vittorio De Sica,Cesare Zavattini; Luigi Bartolini,Lamberto Maggiorani; Enzo Staiola; Lianella Carell,8.4,"85,254"
2001: A Space Odyssey,160,Mystery; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Arthur C. Clarke,Keir Dullea; Gary Lockwood; William Sylvester,8.3,"387,836"
Snatch.,104,Comedy; Crime,Guy Ritchie,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,8.3,"554,528"
Monty Python and the Holy Grail,91,Adventure; Comedy; Fantasy,Terry Gilliam; Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Eric Idle,8.3,"353,622"
The Kid,68,Comedy; Drama; Family,Charles Chaplin,Charles Chaplin,Charles Chaplin; Edna Purviance; Jackie Coogan,8.4,"58,915"
Toy Story,81,Animation; Adventure; Comedy,John Lasseter,John Lasseter; Pete Docter,Tom Hanks; Tim Allen; Don Rickles,8.3,"559,383"
Per qualche dollaro in più,132,Western,Sergio Leone,Sergio Leone; Fulvio Morsella,Clint Eastwood; Lee Van Cleef; Gian Maria Volonté,8.3,"141,283"
Rashômon,88,Crime; Drama,Akira Kurosawa,Ryûnosuke Akutagawa; Akira Kurosawa,Toshirô Mifune; Machiko Kyô; Masayuki Mori,8.3,"93,693"
L.A. Confidential,138,Crime; Drama; Mystery,Curtis Hanson,James Ellroy; Brian Helgeland,Kevin Spacey; Russell Crowe; Guy Pearce,8.3,"386,710"
Inglourious Basterds,153,Adventure; Drama; War,Quentin Tarantino; Eli Roth,Quentin Tarantino,Brad Pitt; Diane Kruger; Eli Roth,8.3,"789,866"
The Apartment,125,Comedy; Drama; Romance,Billy Wilder,Billy Wilder; I.A.L. Diamond,Jack Lemmon; Shirley MacLaine; Fred MacMurray,8.3,"99,486"
All About Eve,138,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis; Anne Baxter; George Sanders,8.4,"76,585"
Indiana Jones and the Last Crusade,127,Action; Adventure,Steven Spielberg,Jeffrey Boam; George Lucas,Harrison Ford; Sean Connery; Alison Doody,8.3,"470,204"
The Treasure of the Sierra Madre,126,Action; Adventure; Drama,John Huston,John Huston; B. Traven,Humphrey Bogart; Walter Huston; Tim Holt,8.3,"73,132"
Jodaeiye Nader az Simin,123,Drama,Asghar Farhadi,Asghar Farhadi,Peyman Moaadi; Leila Hatami; Sareh Bayat,8.4,"138,826"
Metropolis,153,Drama; Sci-Fi,Fritz Lang,Thea von Harbou; Thea von Harbou,Brigitte Helm; Alfred Abel; Gustav Fröhlich,8.3,"102,292"
Yôjinbô,110,Drama,Akira Kurosawa,Akira Kurosawa; Akira Kurosawa,Toshirô Mifune; Eijirô Tôno; Tatsuya Nakadai,8.3,"67,719"
Scarface,170,Crime; Drama,Brian De Palma,Oliver Stone,Al Pacino; Michelle Pfeiffer; Steven Bauer,8.3,"492,546"
